#threads: 8
#Benchmark, Consume/Produce
#
#
#productions	Green(ms)	Pthread(ms)
200	1.594000	5.554000
400	4.905000	6.922000
600	4.800000	12.874000
800	10.397000	9.754000
1000	5.512000	8.029000
1200	6.581000	11.584000
1400	8.269000	12.546000
1600	9.489000	21.271000
1800	14.911000	17.796000
2000	10.768000	17.137000
2200	13.529000	22.574000
2400	21.710000	32.849000
2600	20.416000	25.710000
2800	14.436000	27.861000
3000	20.994000	27.393000
3200	16.462000	30.394000
3400	21.681000	36.158000
3600	19.408000	33.155000
3800	22.329000	33.859000
4000	21.515000	36.029000
4200	24.027000	43.963000
4400	35.555000	44.243000
4600	23.531000	39.430000
4800	24.956000	48.549000
5000	27.036000	49.303000
5200	27.689000	49.253000
5400	29.574000	64.793000
5600	51.304000	97.742000
5800	39.356000	61.244000
6000	33.035000	63.467000
6200	32.035000	59.583000
6400	32.548000	54.878000
6600	35.973000	65.501000
6800	41.203000	90.381000
7000	57.161000	124.720000
7200	50.370000	64.029000
7400	39.943000	76.297000
7600	39.446000	68.695000
7800	41.313000	97.971000
8000	53.038000	79.467000
8200	51.823000	93.868000
8400	42.665000	105.212000
8600	43.353000	76.282000
8800	48.416000	81.631000
9000	46.996000	97.921000
9200	46.860000	89.359000
9400	50.712000	90.507000
9600	52.769000	143.137000
9800	84.309000	109.417000
10000	59.129000	83.818000
done
